period,period_type,remaining_seconds_in_period,relevant_team,away_team,home_team,away_score,home_score,description
1,QUARTER,717.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,0,0,Personal foul by C. Sexton {/players/s/sextoco01.html} (drawn by S. Mykhailiuk {/players/m/mykhasv01.html})
1,QUARTER,707.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,0,0,L. Markkanen {/players/m/markkla01.html} misses 2-pt layup from 4 ft
1,QUARTER,706.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,0,0,Offensive rebound by L. Markkanen {/players/m/markkla01.html}
1,QUARTER,706.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,2,0,L. Markkanen {/players/m/markkla01.html} makes 2-pt layup at rim
1,QUARTER,684.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,2,0,M. Bridges {/players/b/bridgmi02.html} misses 3-pt jump shot from 27 ft
1,QUARTER,681.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,2,0,Defensive rebound by J. Nurkić {/players/n/nurkiju01.html}
1,QUARTER,673.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,2,0,Turnover by K. George {/players/g/georgke01.html} (lost ball; steal by R. Kalkbrenner {/players/k/kalkbry01.html})
1,QUARTER,668.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,2,0,K. Knueppel {/players/k/knuepko01.html} misses 2-pt layup from 3 ft (block by S. Mykhailiuk {/players/m/mykhasv01.html})
1,QUARTER,665.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,2,0,Defensive rebound by T. Hendricks {/players/h/hendrta01.html}
1,QUARTER,664.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,2,0,Personal foul by S. James {/players/j/jamessi01.html} (drawn by L. Markkanen {/players/m/markkla01.html})
1,QUARTER,658.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,4,0,L. Markkanen {/players/m/markkla01.html} makes 2-pt dunk from 2 ft (assist by K. George {/players/g/georgke01.html})
1,QUARTER,644.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,0,M. Bridges {/players/b/bridgmi02.html} misses 2-pt jump shot from 4 ft
1,QUARTER,642.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,4,0,Defensive rebound by S. Mykhailiuk {/players/m/mykhasv01.html}
1,QUARTER,637.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,4,0,T. Hendricks {/players/h/hendrta01.html} misses 3-pt jump shot from 25 ft
1,QUARTER,637.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,0,Defensive rebound by Team
1,QUARTER,627.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,3,C. Sexton {/players/s/sextoco01.html} makes 3-pt jump shot from 26 ft
1,QUARTER,611.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,4,3,S. Mykhailiuk {/players/m/mykhasv01.html} misses 3-pt jump shot from 26 ft
1,QUARTER,608.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,3,Defensive rebound by R. Kalkbrenner {/players/k/kalkbry01.html}
1,QUARTER,603.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,3,K. Knueppel {/players/k/knuepko01.html} misses 2-pt layup from 2 ft
1,QUARTER,601.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,4,3,Defensive rebound by J. Nurkić {/players/n/nurkiju01.html}
1,QUARTER,595.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,4,3,K. George {/players/g/georgke01.html} misses 2-pt layup from 4 ft
1,QUARTER,595.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,3,Defensive rebound by K. Knueppel {/players/k/knuepko01.html}
1,QUARTER,584.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,6,K. Knueppel {/players/k/knuepko01.html} makes 3-pt jump shot from 25 ft (assist by C. Sexton {/players/s/sextoco01.html})
1,QUARTER,572.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,4,6,L. Markkanen {/players/m/markkla01.html} misses 2-pt layup from 4 ft
1,QUARTER,567.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,6,Defensive rebound by M. Bridges {/players/b/bridgmi02.html}
1,QUARTER,561.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,4,9,S. James {/players/j/jamessi01.html} makes 3-pt jump shot from 25 ft (assist by K. Knueppel {/players/k/knuepko01.html})
1,QUARTER,547.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,7,9,L. Markkanen {/players/m/markkla01.html} makes 3-pt jump shot from 28 ft (assist by S. Mykhailiuk {/players/m/mykhasv01.html})
1,QUARTER,538.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,7,9,Personal foul by J. Nurkić {/players/n/nurkiju01.html} (drawn by C. Sexton {/players/s/sextoco01.html})
1,QUARTER,526.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,7,9,Turnover by R. Kalkbrenner {/players/k/kalkbry01.html} (out of bounds lost ball)
1,QUARTER,516.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,7,9,S. Mykhailiuk {/players/m/mykhasv01.html} misses 3-pt jump shot from 27 ft
1,QUARTER,514.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,7,9,Offensive rebound by T. Hendricks {/players/h/hendrta01.html}
1,QUARTER,514.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,7,9,Personal foul by K. Knueppel {/players/k/knuepko01.html} (drawn by T. Hendricks {/players/h/hendrta01.html})
1,QUARTER,508.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,9,9,K. George {/players/g/georgke01.html} makes 2-pt layup from 2 ft (assist by J. Nurkić {/players/n/nurkiju01.html})
1,QUARTER,496.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,9,9,Turnover by C. Sexton {/players/s/sextoco01.html} (dbl dribble)
1,QUARTER,489.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,9,9,L. Markkanen {/players/m/markkla01.html} misses 3-pt jump shot from 27 ft
1,QUARTER,485.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,9,9,Defensive rebound by R. Kalkbrenner {/players/k/kalkbry01.html}
1,QUARTER,475.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,9,12,S. James {/players/j/jamessi01.html} makes 3-pt jump shot from 25 ft (assist by M. Bridges {/players/b/bridgmi02.html})
1,QUARTER,463.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,11,12,K. George {/players/g/georgke01.html} makes 2-pt jump shot from 4 ft
1,QUARTER,451.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,11,12,K. Knueppel {/players/k/knuepko01.html} misses 3-pt jump shot from 26 ft
1,QUARTER,447.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,11,12,Defensive rebound by J. Nurkić {/players/n/nurkiju01.html}
1,QUARTER,431.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,11,12,K. George {/players/g/georgke01.html} misses 2-pt jump shot from 12 ft
1,QUARTER,427.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,11,12,Defensive rebound by S. James {/players/j/jamessi01.html}
1,QUARTER,421.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,11,12,C. Sexton {/players/s/sextoco01.html} misses 3-pt jump shot from 26 ft
1,QUARTER,418.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,11,12,Defensive rebound by J. Nurkić {/players/n/nurkiju01.html}
1,QUARTER,408.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,13,12,L. Markkanen {/players/m/markkla01.html} makes 2-pt layup from 4 ft (assist by K. George {/players/g/georgke01.html})
1,QUARTER,408.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,13,12,Charlotte full timeout
1,QUARTER,408.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,13,12,A. Bailey {/players/b/baileac01.html} enters the game for K. George {/players/g/georgke01.html}
1,QUARTER,408.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,13,12,W. Clayton {/players/c/claytwa01.html} enters the game for T. Hendricks {/players/h/hendrta01.html}
1,QUARTER,408.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,13,12,K. Love {/players/l/loveke01.html} enters the game for S. Mykhailiuk {/players/m/mykhasv01.html}
1,QUARTER,408.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,13,12,B. Sensabaugh {/players/s/sensabr01.html} enters the game for J. Nurkić {/players/n/nurkiju01.html}
1,QUARTER,408.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,13,12,K. Simpson {/players/s/simpskj01.html} enters the game for C. Sexton {/players/s/sextoco01.html}
1,QUARTER,400.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,13,14,K. Knueppel {/players/k/knuepko01.html} makes 2-pt jump shot from 10 ft (assist by S. James {/players/j/jamessi01.html})
1,QUARTER,400.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,13,14,Shooting foul by A. Bailey {/players/b/baileac01.html} (drawn by K. Knueppel {/players/k/knuepko01.html})
1,QUARTER,400.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,13,14,M. Diabaté {/players/d/diabamo01.html} enters the game for R. Kalkbrenner {/players/k/kalkbry01.html}
1,QUARTER,400.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,13,15,K. Knueppel {/players/k/knuepko01.html} makes free throw 1 of 1
1,QUARTER,381.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,16,15,L. Markkanen {/players/m/markkla01.html} makes 3-pt jump shot from 25 ft (assist by K. Love {/players/l/loveke01.html})
1,QUARTER,372.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,16,15,Shooting foul by W. Clayton {/players/c/claytwa01.html} (drawn by M. Bridges {/players/b/bridgmi02.html})
1,QUARTER,372.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,16,16,M. Bridges {/players/b/bridgmi02.html} makes free throw 1 of 2
1,QUARTER,372.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,16,17,M. Bridges {/players/b/bridgmi02.html} makes free throw 2 of 2
1,QUARTER,359.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,16,17,W. Clayton {/players/c/claytwa01.html} misses 3-pt jump shot from 29 ft
1,QUARTER,355.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,16,17,Defensive rebound by M. Diabaté {/players/d/diabamo01.html}
1,QUARTER,347.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,16,19,K. Knueppel {/players/k/knuepko01.html} makes 2-pt jump shot from 4 ft (assist by S. James {/players/j/jamessi01.html})
1,QUARTER,347.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,16,19,Shooting foul by B. Sensabaugh {/players/s/sensabr01.html} (drawn by K. Knueppel {/players/k/knuepko01.html})
1,QUARTER,347.0,CHARLOTTE HORNETS,UTAH JAZZ,CHARLOTTE HORNETS,16,20,K. Knueppel {/players/k/knuepko01.html} makes free throw 1 of 1
1,QUARTER,334.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,16,20,Shooting foul by K. Knueppel {/players/k/knuepko01.html} (drawn by B. Sensabaugh {/players/s/sensabr01.html})
1,QUARTER,334.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,16,20,B. Sensabaugh {/players/s/sensabr01.html} misses free throw 1 of 2
1,QUARTER,334.0,UTAH JAZZ,UTAH JAZZ,CHARLOTTE HORNETS,16,20,Offensive rebound by Team
